Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Athani,2014-01-25,7000.0,Coconut,5952,5952,5952
Bangalore,2014-01-06,13100.0,Coconut,3000,10000,7000
Bantwala,2014-01-01,1200.0,,NR,NR,NR
Bantwala,2014-01-24,670.0,Medium,5000,10600,9300
Bantwala,2014-01-25,325.0,Medium,5000,10500,9300
Channagiri,2014-01-16,4580.0,Coconut,8000,10500,10000
Channagiri,2014-01-24,4351.0,Coconut,8000,10500,10000
Channapatana,2014-01-04,250.0,Coconut,4000,7000,5500
Channapatana,2014-01-06,450.0,Coconut,4000,8000,6000
Channapatana,2014-01-07,170.0,Coconut,4700,7000,5850
Channapatana,2014-01-13,780.0,Coconut,4500,8000,6250
Channapatana,2014-01-14,250.0,Coconut,4000,7000,5500
Channapatana,2014-01-17,130.0,Coconut,4000,7000,5500
Channapatana,2014-01-20,360.0,Coconut,4000,8000,6000
Channapatana,2014-01-21,270.0,Coconut,4500,8000,6250
Channapatana,2014-01-23,350.0,Coconut,4000,8000,6000
Channapatana,2014-01-24,600.0,Coconut,5000,9000,7000
Channapatana,2014-01-25,200.0,Coconut,4500,8000,6250
Channapatana,2014-01-27,380.0,Coconut,4000,8500,6250
Channapatana,2014-01-28,230.0,Coconut,4000,6000,5000
Channapatana,2014-01-29,2000.0,Coconut,4000,4000,4000
Channapatana,2014-01-30,400.0,Coconut,4500,8000,6250
Channapatana,2014-01-31,230.0,Coconut,4000,7000,5500
Davangere,2014-01-03,5200.0,Coconut,5000,11500,8250
Davangere,2014-01-06,6000.0,Coconut,5000,11500,8000
Davangere,2014-01-13,4200.0,Coconut,5000,11700,8350
Davangere,2014-01-17,8000.0,Coconut,5000,12000,8500
Davangere,2014-01-24,2500.0,Coconut,5000,12000,8500
Davangere,2014-01-27,2250.0,Coconut,5000,10550,7775
Gonikappal,2014-01-17,100.0,,NR,NR,NR
Gubbi,2014-01-01,5000.0,Coconut,6000,9500,8000
Gubbi,2014-01-02,4230.0,Coconut,10000,10500,10500
Gundlupet,2014-01-02,2200.0,,NR,NR,NR
Gundlupet,2014-01-03,3600.0,Coconut,5000,5000,5000
Gundlupet,2014-01-04,4349.0,Coconut,5000,10045,5000
Gundlupet,2014-01-06,2400.0,,NR,NR,NR
Gundlupet,2014-01-07,1400.0,Coconut,4500,4500,4500
Gundlupet,2014-01-09,800.0,Coconut,5000,5000,5000
Gundlupet,2014-01-12,3800.0,Coconut,4500,5200,5000
Gundlupet,2014-01-14,2000.0,Coconut,5000,5000,5000
Gundlupet,2014-01-17,2200.0,Coconut,5000,5142,5000
Gundlupet,2014-01-18,3391.0,,NR,NR,NR
Gundlupet,2014-01-19,3631.0,Coconut,10050,10050,10050
Gundlupet,2014-01-23,1400.0,Coconut,4500,4500,4500
Gundlupet,2014-01-24,3823.0,Coconut,5000,11183,5000
Gundlupet,2014-01-26,1400.0,Coconut,4500,4500,4500
Gundlupet,2014-01-27,3400.0,Coconut,5000,5100,5000
Harihara,2014-01-04,1980.0,Coconut,5000,5000,5000
Harihara,2014-01-06,3340.0,Coconut,6000,11000,8500
Harihara,2014-01-09,2340.0,Coconut,11000,11000,11000
Harihara,2014-01-13,4420.0,Coconut,7000,11000,9000
Harihara,2014-01-16,1700.0,Coconut,6000,6000,6000
Harihara,2014-01-17,400.0,Coconut,6000,6000,6000
Harihara,2014-01-20,1900.0,Coconut,5500,5500,5500
Harihara,2014-01-21,1962.0,Coconut,6500,6500,6500
Harihara,2014-01-27,2380.0,Coconut,5000,5000,5000
Holalkere,2014-01-10,9474.0,Medium,7000,11000,9000
Honnali,2014-01-07,1800.0,Coconut,7000,7000,7000
Honnali,2014-01-13,600.0,Coconut,5000,5000,5000
Honnali,2014-01-18,1120.0,Coconut,9000,9000,9000
Honnali,2014-01-22,600.0,Coconut,5000,5000,5000
Honnali,2014-01-25,5400.0,Coconut,5000,6000,5500
Honnali,2014-01-30,2100.0,Coconut,9000,9000,9000
K.R.Nagar,2014-01-01,4250.0,Coconut,6500,8000,6941
K.R.Nagar,2014-01-04,2100.0,Coconut,8000,8000,8000
K.R.Nagar,2014-01-06,3000.0,Coconut,8000,8000,8000
K.R.Nagar,2014-01-07,6000.0,Coconut,7000,7000,7000
K.R.Nagar,2014-01-08,4700.0,Coconut,6000,7000,6600
K.R.Nagar,2014-01-10,3000.0,Coconut,7000,7000,7000
K.R.Nagar,2014-01-17,2000.0,Coconut,7000,7000,7000
K.R.Nagar,2014-01-20,4250.0,Coconut,10000,10000,10000
K.R.Nagar,2014-01-21,600.0,Coconut,10000,10000,10000
K.R.Nagar,2014-01-22,3700.0,Coconut,7837,7837,7837
K.R.Nagar,2014-01-23,3900.0,Coconut,9435,9435,9435
K.R.Nagar,2014-01-27,6000.0,Coconut,6000,8000,7666
Kundapura,2014-01-03,8237.0,Big,9000,11140,10000
Kundapura,2014-01-04,6095.0,Big,8000,9000,8500
Kundapura,2014-01-04,,Medium,7000,7500,7250
Kundapura,2014-01-08,500.0,Big,8500,9000,8750
Kundapura,2014-01-10,31874.0,Big,9680,11450,10500
Kundapura,2014-01-16,350.0,Medium,7000,7500,7250
Kundapura,2014-01-17,8889.0,Big,10690,10820,10750
Kundapura,2014-01-18,4905.0,Big,8500,9000,8750
Kundapura,2014-01-18,,Medium,7000,8000,7500
Kundapura,2014-01-20,17477.0,Big,8500,10680,9600
Kundapura,2014-01-24,24552.0,Big,8980,11000,9950
Kundapura,2014-01-25,4790.0,Big,8500,9000,8750
Kundapura,2014-01-25,,Medium,7500,8000,7750
Kundapura,2014-01-27,600.0,Medium,7000,7500,7250
Kundapura,2014-01-30,18304.0,Big,11000,14660,12830
Kundapura,2014-01-30,,Medium,8000,8990,8495
Kundapura,2014-01-31,1373.0,Big,11890,12000,11945
Maddur,2014-01-20,2000.0,Coconut,9000,9000,9000
Maddur,2014-01-22,4000.0,Coconut,9000,9000,9000
Mysore (Bandipalya),2014-01-28,300.0,Coconut,900,1400,1200
Nippani,2014-01-20,550.0,,NR,NR,NR
Nippani,2014-01-24,600.0,,NR,NR,NR
Nippani,2014-01-28,400.0,,NR,NR,NR
Nippani,2014-01-29,550.0,,NR,NR,NR
Santhesargur,2014-01-01,1500.0,,NR,NR,NR
Santhesargur,2014-01-02,1800.0,,NR,NR,NR
Santhesargur,2014-01-04,3000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-06,4300.0,Coconut,4500,5500,5000
Santhesargur,2014-01-07,2000.0,Coconut,5000,5000,5000
Santhesargur,2014-01-08,2000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-13,2150.0,Coconut,4500,6000,5250
Santhesargur,2014-01-16,1500.0,Coconut,4500,4500,4500
Santhesargur,2014-01-17,1000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-20,2000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-24,1600.0,Coconut,4500,5000,5000
Santhesargur,2014-01-25,4000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-28,2000.0,Coconut,4500,4500,4500
Santhesargur,2014-01-29,800.0,Coconut,4500,4500,4500
Shimoga,2014-01-01,200.0,,NR,NR,NR
Shimoga,2014-01-03,2400.0,Coconut,1200,1400,1300
Shimoga,2014-01-06,200.0,Coconut,1200,1400,1300
Shimoga,2014-01-08,100.0,Coconut,1200,1400,1300
Shimoga,2014-01-10,4788.0,Coconut,1200,1400,1300
Shimoga,2014-01-13,200.0,Coconut,1300,1500,1400
Shimoga,2014-01-16,200.0,Coconut,1300,1500,1400
Shimoga,2014-01-17,2230.0,,NR,NR,NR
Shimoga,2014-01-20,200.0,Coconut,1300,1500,1400
Shimoga,2014-01-22,100.0,Coconut,1300,1500,1400
