Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Bangalore,2014-01-01,621.0,,NR,NR,NR
Bangalore,2014-01-02,631.0,,NR,NR,NR
Bangalore,2014-01-03,685.0,Chips,1800,2100,1900
Bangalore,2014-01-03,,Local,1600,1800,1700
Bangalore,2014-01-03,,Potato,1400,1600,1500
Bangalore,2014-01-04,817.0,Chips,1800,2000,1900
Bangalore,2014-01-04,,Local,1600,1800,1700
Bangalore,2014-01-04,,Potato,1500,1600,1550
Bangalore,2014-01-06,1283.0,Chips,1800,2100,1900
Bangalore,2014-01-06,,Local,1600,1800,1700
Bangalore,2014-01-06,,Potato,1500,1600,1500
Bangalore,2014-01-07,1340.0,Chips,1700,2000,1850
Bangalore,2014-01-07,,Local,1400,1700,1500
Bangalore,2014-01-07,,Potato,1200,1400,1300
Bangalore,2014-01-08,1363.0,Chips,1500,1850,1600
Bangalore,2014-01-08,,Local,1400,1500,1450
Bangalore,2014-01-08,,Potato,1500,1850,1600
Bangalore,2014-01-09,1359.0,Chips,1400,1700,1600
Bangalore,2014-01-09,,Local,1200,1400,1300
Bangalore,2014-01-09,,Potato,700,1000,800
Bangalore,2014-01-10,1112.0,Chips,1400,1650,1500
Bangalore,2014-01-10,,Local,1000,1400,1200
Bangalore,2014-01-10,,Potato,800,1000,900
Bangalore,2014-01-13,934.0,Chips,1400,1600,1500
Bangalore,2014-01-13,,Local,1000,1400,1200
Bangalore,2014-01-13,,Potato,800,1000,900
Bangalore,2014-01-16,978.0,Chips,1300,1600,1400
Bangalore,2014-01-16,,Local,1200,1300,1250
Bangalore,2014-01-16,,Potato,1000,1200,1100
Bangalore,2014-01-17,665.0,Chips,1200,1620,1400
Bangalore,2014-01-17,,Local,1100,1300,1150
Bangalore,2014-01-17,,Potato,1000,1100,1050
Bangalore,2014-01-18,892.0,Chips,1300,1700,1500
Bangalore,2014-01-18,,Local,1100,1400,1200
Bangalore,2014-01-18,,Potato,900,1000,950
Bangalore,2014-01-20,1262.0,Chips,1250,1600,1400
Bangalore,2014-01-20,,Local,1100,1300,1150
Bangalore,2014-01-20,,Potato,1000,1100,1030
Bangalore,2014-01-21,1376.0,Chips,1200,1600,1400
Bangalore,2014-01-21,,Local,1100,1400,1250
Bangalore,2014-01-21,,Potato,1000,1200,1050
Bangalore,2014-01-22,911.0,Chips,1200,1600,1400
Bangalore,2014-01-22,,Local,1100,1400,1300
Bangalore,2014-01-22,,Potato,1000,1100,1050
Bangalore,2014-01-23,1013.0,Chips,1100,1500,1300
Bangalore,2014-01-23,,Local,1000,1200,1100
Bangalore,2014-01-23,,Potato,800,1050,975
Bangalore,2014-01-24,1010.0,Chips,1000,1475,1200
Bangalore,2014-01-24,,Local,1000,1250,1100
Bangalore,2014-01-24,,Potato,700,1050,900
Bangalore,2014-01-25,763.0,Chips,1100,1400,1250
Bangalore,2014-01-25,,Local,1000,1250,1100
Bangalore,2014-01-25,,Potato,900,1000,950
Bangalore,2014-01-27,1070.0,Chips,1050,1350,1200
Bangalore,2014-01-27,,Local,950,1250,1100
Bangalore,2014-01-27,,Potato,800,900,875
Bangalore,2014-01-28,688.0,Chips,1050,1300,1200
Bangalore,2014-01-28,,Local,950,1200,1100
Bangalore,2014-01-28,,Potato,800,900,875
Bangalore,2014-01-29,596.0,Chips,1100,1350,1200
Bangalore,2014-01-29,,Local,1000,1200,1050
Bangalore,2014-01-29,,Potato,800,1000,900
Bangalore,2014-01-30,778.0,Chips,1100,1300,1150
Bangalore,2014-01-30,,Local,1000,1150,1050
Bangalore,2014-01-30,,Potato,800,1000,950
Bangalore,2014-01-31,902.0,Chips,1100,1250,1150
Bangalore,2014-01-31,,Local,1050,1100,1075
Bangalore,2014-01-31,,Potato,1000,1050,1025
Bangarpet,2014-01-01,63.0,,NR,NR,NR
Bangarpet,2014-01-02,60.0,,NR,NR,NR
Bangarpet,2014-01-03,27.0,Local,1200,1800,1400
Bangarpet,2014-01-04,77.0,Local,1200,1800,1400
Bangarpet,2014-01-06,84.0,Local,1200,1800,1400
Bangarpet,2014-01-08,78.0,Local,1200,1800,1400
Bangarpet,2014-01-10,18.0,Local,1200,1800,1400
Bangarpet,2014-01-11,48.0,Local,1200,1800,1500
Bangarpet,2014-01-13,115.0,Local,1200,1800,1500
Bangarpet,2014-01-14,42.0,Local,1250,1800,1400
Bangarpet,2014-01-15,32.0,Local,1250,1800,1400
Bangarpet,2014-01-16,40.0,Local,1300,1800,1400
Bangarpet,2014-01-17,18.0,Local,1300,1800,1400
Bangarpet,2014-01-21,45.0,Local,1300,1800,1400
Bangarpet,2014-01-22,40.0,Local,1300,1800,1400
Bangarpet,2014-01-23,45.0,Local,1300,1800,1400
Bangarpet,2014-01-27,100.0,Local,1250,1700,1400
Bangarpet,2014-01-28,40.0,Local,1250,1700,1400
Bangarpet,2014-01-29,48.0,Local,1250,1700,1400
Bangarpet,2014-01-30,60.0,Local,1200,1700,1300
Bangarpet,2014-01-31,20.0,Local,1200,1700,1300
Belgaum,2014-01-01,259.0,,NR,NR,NR
Belgaum,2014-01-02,56.0,,NR,NR,NR
Belgaum,2014-01-03,89.0,,NR,NR,NR
Belgaum,2014-01-04,177.0,Local,350,1800,1300
Belgaum,2014-01-05,171.0,Local,350,1800,1300
Belgaum,2014-01-06,105.0,Local,350,1800,1300
Belgaum,2014-01-08,254.0,Local,300,1400,1100
Belgaum,2014-01-09,139.0,Local,300,1400,1100
Belgaum,2014-01-10,19.0,Local,300,1400,1100
Belgaum,2014-01-12,123.0,Local,300,1380,1200
